era,era_url,poet,poet_url,descr,genre_count,beat_count,poems_count,long_descr,quote
العصر الأموي,https://www.aldiwan.net/cat-poets-umayyad-era,أبو الأخيل العجلي,https://www.aldiwan.net/cat-abo-alokhil-ajla,أبو الأخيل العجلي. هو مولى لبني عجل، كان شاعراً أعمى، وله شعر قاله آخر أيام بني أمية، ووفد على عمر,"عامه: 1,قصيره: 1","البسيط: 1,الطويل: 1",2, أبو الأخيل العجلي. هو مولى لبني عجل، كان شاعراً أعمى، وله شعر قاله آخر أيام بني أمية، ووفد على عمر بن هبيرة الفزاري. له شعر في قصائد نادرة من كتاب منتهى الطلب من أشعار العرب.,"وَإِنّي مِنَ القَومِ الَّذينَ هُمُ هُمُ***إِذا ماتَ مِنهُم سَيِّدٌ قامَ صاحِبُه, نُجومُ سَماءٍ كُلَّما غابَ كَوكَبٌ***بَدا كَوكَبٌ تَأوي إِلَيهِ كَواكِبُه"
العصر الأموي,https://www.aldiwan.net/cat-poets-umayyad-era,أبو الأسود الدؤلي,https://www.aldiwan.net/cat-poet-Abu-al-Aswad-al-Duali,ظالم بن عمرو بن سفيان بن جندل الدؤلي الكناني. واضع علم النحو. كان معدوداً من الفقهاء والأعيان والأمراء والشعراء والفرسان,"ذم: 1,عامه: 25,قصيره: 121,مدح: 1,نصيحة: 1","البسيط: 11,الخفيف: 2,الرجز: 3,الرمل: 2,السريع: 1,الطويل: 88,الكامل: 15,المتقارب: 8,المنسرح: 2,الوافر: 16,مجزوء: 1",149, ظالم بن عمرو بن سفيان بن جندل الدؤلي الكناني. واضع علم النحو. كان معدوداً من الفقهاء والأعيان والأمراء والشعراء والفرسان والحاضري الجواب، من التابعين. رسم له علي بن أبي طالب شيئاً من أصول النحو، فكتب فيه أبو الأسود. وأخذه عنه جماعة. وفي صبح الأعشى أن أبا الأسود وضع الحركات والتنوين لا غير. سكن البصرة في خلافة عمر، وولي إمارتها في أيام علي، استخلفه عليها عبد الله بن عباس لما شخص إلى الحجاز. ولم يزل في الإمارة إلى أن قتل علي. وكان قد شهد معه &quot;صفين&quot; ولما تم الأمر لمعاوية قصده فبالغ معاوية في إكرامه. وهو - في أكثر الأقوال - أول من نقط المصحف. وله شعر جيد، في (ديوان - ط) صغير، أشهره أبيات يقول فيها:|#لا تنه عن خلق وتأتي مثله|مات بالبصرة. ولأبي أحمد عبد العزيز بن يحيى الجلودي، كتاب (أخبار أبي الأسود) وللدكتور فتحي عبد الفتاح الدجني (أبو الأسود الدؤلي ونشأة النحو العربي - ط) في الكويت.,"نُبِّئتُ أَنَّ زياداً ظَلَّ يَشتُمَني***والقَولُ يُكتَبُ عِندَ اللَهِ والعَمَلُ, وَقَد لَقِيتُ زياداً ثُمَّ قُلتُ لَهُ***وَقبلَ ذَلِكَ ما خَبَّت بِهِ الرُسُلُ"
العصر الأموي,https://www.aldiwan.net/cat-poets-umayyad-era,أبو الطفيل القرشي,https://www.aldiwan.net/cat-poet-Abu-At-Tufail-Al-Qurashi,عامر بن واثلة بن عبد الله بن عمرو الليثي الكناني القرشي. شاعر كنانة وأحد فرسانها ومن ذوي السيادة فيها ولد,"حزينه: 1,رومنسيه: 1,عتاب: 4,قصيره: 4,مدح: 3,هجاء: 2","البسيط: 3,السريع: 1,الطويل: 8,المتقارب: 2,الهزج: 1",15, عامر بن واثلة بن عبد الله بن عمرو الليثي الكناني القرشي. شاعر كنانة وأحد فرسانها ومن ذوي السيادة فيها ولد يوم وقعة أحد وروى عن النبي صلى الله عليه وسلم تسعة أحاديث. وحمل راية علي بن أبي طالب، في بعض وقائعه وعاش إلى أيام معاوية وما بعدها وكتب إليه معاوية يلاطفه فوفد عليه إلى الشام. ثم خرج على بني أمية مع المختار الثقفي مطالباً بدم الحسين ولما قتل المختار انزوى عامر إلى أن خرج ابن الأشعث فخرج معه وعاش بعد ذلك إلى أيام عمرو بن عبد العزيز فتوفي بمكة. وهو آخر من مات من الصحابة.,"أعيني ألا تبكيا لمصيبتي***وكل عيون الناس عني أصبرُ, بكيت لفقد الأكرمين تتابعوا***وصلّوا المنايا دارعون وحسر"
العصر الأموي,https://www.aldiwan.net/cat-poets-umayyad-era,أبو النجم العجلي,https://www.aldiwan.net/cat-poet-Abu-Al-Najm-Al-Ajli,الفضل بن قدامة العجلي، أبو النجم، من بني بكر بن وائل. من أكابر الرجّاز ومن أحسن الناس إنشاداً للشعر. نبغ,"رومنسيه: 1,عتاب: 1,غزل: 1,قصيره: 7,مدح: 3,هجاء: 1","البسيط: 2,الرجز: 10,الطويل: 4,الكامل: 4,الوافر: 2",22, الفضل بن قدامة العجلي، أبو النجم، من بني بكر بن وائل. من أكابر الرجاز ومن أحسن الناس إنشاداً للشعر. نبغ في العصر الأموي، وكان يحضر مجالس عبد الملك بن مروان وولده هشام. قال أبو عمرو بن العلاء: كان ينزل سواد الكوفة، وهو أبلغ من العجاج في النعت.,يا نَفسُ لا يَلهِيَنَّكِ الأَمَلُ***فَرُبَّما أَكذَبَ المُنى الأَجَلُ
العصر الأموي,https://www.aldiwan.net/cat-poets-umayyad-era,أبو النجم العجلي,https://www.aldiwan.net/cat-poet-Abu-al-Najm-al-Ajli2,الفضل بن قدامة العجلي، أبو النجم، من بني بكر بن وائل. من أكابر الرجاز ومن أحسن الناس إنشاداً للشعر. نبغ,"رومنسيه: 1,قصيره: 6,مدح: 1","البسيط: 2,الرجز: 10,الطويل: 4,الكامل: 4,الوافر: 2",22, الفضل بن قدامة العجلي، أبو النجم، من بني بكر بن وائل. من أكابر الرجاز ومن أحسن الناس إنشاداً للشعر. نبغ في العصر الأموي، وكان يحضر مجالس عبد الملك بن مروان وولده هشام. قال أبو عمرو بن العلاء: كان ينزل سواد الكوفة، وهو أبلغ من العجاج في النعت.,يا نَفسُ لا يَلهِيَنَّكِ الأَمَلُ***فَرُبَّما أَكذَبَ المُنى الأَجَلُ
العصر الأموي,https://www.aldiwan.net/cat-poets-umayyad-era,أبو جلدة اليشكري,https://www.aldiwan.net/cat-poet-Abu-Jaldah-Al-Yashkari,أبو جلدة بن عبيد بن منقذ بن حجر بن عبيد الله بن مسلمة من بني جشم بن غنم من بني,"حزينه: 1,رومنسيه: 1,شوق: 1,عامه: 1,عتاب: 4,غزل: 1,فراق: 1,قصيره: 8,مدح: 4,نصيحة: 3,هجاء: 9","البسيط: 10,الخفيف: 2,السريع: 5,الطويل: 29,الكامل: 4,الوافر: 12",62, أبو جلدة بين عبيد الله اليشكري، من بني عدي بن جشم، من يشكر. شاعر نعته ابن قتيبة بالخبيث. كان مولعا بالشراب. من أهل الكوفة. خرج مع ابن الأشعث (عبد الرحمن بن محمد) وقتله الحجاج. وقيل: مات في طريق مكة. له شعر وأخبار. وكان يهاجي زياداً الأعجم. وفي حماسة ابن الشجري قصيدة له في تحريض أهل العراق على الثورة بعد قيام ابن الأشعث على الحجاج.,يا نَفسُ لا يَلهِيَنَّكِ الأَمَلُ***فَرُبَّما أَكذَبَ المُنى الأَجَلُ
العصر الأموي,https://www.aldiwan.net/cat-poets-umayyad-era,أبو جلدة اليشكري,https://www.aldiwan.net/cat-poet-Abu-Jelda-AlYashri,أبو جلدة بين عبيد الله اليشكري، من بني عدي بن جشم، من يشكر. شاعر نعته ابن قتيبة بالخبيث. كان مولعا,"ذم: 5,رثاء: 10,رومنسيه: 1,عتاب: 4,قصيره: 2,مدح: 2,هجاء: 4","البسيط: 10,الخفيف: 2,السريع: 5,الطويل: 29,الكامل: 4,الوافر: 12",62, أبو جلدة بين عبيد الله اليشكري، من بني عدي بن جشم، من يشكر. شاعر نعته ابن قتيبة بالخبيث. كان مولعا بالشراب. من أهل الكوفة. خرج مع ابن الأشعث (عبد الرحمن بن محمد) وقتله الحجاج. وقيل: مات في طريق مكة. له شعر وأخبار. وكان يهاجي زياداً الأعجم. وفي حماسة ابن الشجري قصيدة له في تحريض أهل العراق على الثورة بعد قيام ابن الأشعث على الحجاج.,يا نَفسُ لا يَلهِيَنَّكِ الأَمَلُ***فَرُبَّما أَكذَبَ المُنى الأَجَلُ
العصر الأموي,https://www.aldiwan.net/cat-poets-umayyad-era,أبو دهبل الجمحي,https://www.aldiwan.net/cat-poet-Abu-Dahabl-Al-Jamahi,وهب بن زمعة بن أسد، من أشراف بني جمح بن لؤي بن غالب، من قريش.أحد الشعراء العشاق المشهورين. من أهل,"حزينه: 2,ذم: 1,رثاء: 4,رومنسيه: 4,عامه: 1,عتاب: 8,فراق: 2,قصيره: 3,مدح: 9,هجاء: 11,وطنيه: 1","البسيط: 11,الخفيف: 3,الرمل: 2,السريع: 2,الطويل: 17,الكامل: 3,المتقارب: 1,المديد: 2,المنسرح: 2,الوافر: 1,مجزوء: 2",46," وهب بن زمعة بن أسد، من أشراف بني جمح بن لؤي بن غالب، من قريش.
أحد الشعراء العشاق المشهورين. من أهل مكة. قال المرتضي: هو (من شعراء قريش، وممن جمع إلى الطبع التجويد). له مدائح في معاوية وعبد الله بن الزبير، وأخبار كثيرة مع عمرة الجمحية وعاتكة بنت معاوية. في شعره رقة وجزالة. وله (ديوان شعر - ط) من رواية الزبير بن بكار. وكان صالحاً. ولاه عبد الله بن الزبير بعض أعمال اليمن، وتوفي بعُلْيَب (وفي معجم البلدان: عليب، موضع بتهامة).",لِمَن الدِّيَارُ كَانَّهُنَّ سُطُورُ***قَفرٌ عفَتهُ رَوَامِسٌ ودُهُورُ
العصر الأموي,https://www.aldiwan.net/cat-poets-umayyad-era,أبو زبيد الطائي,https://www.aldiwan.net/cat-poet-Abu-Zubaid-Al-Taie,حرملة بن المنذر بن معد يكرب بن حنظلة يتصل نسبة بيعرب بن قحطان. شاعر جاهلي من قبيلة طيء في اليمن،,"ابتهال: 1,حزينه: 2,حكمة: 1,رثاء: 1,رومنسيه: 1,شوق: 1,عامه: 5,عتاب: 3,فراق: 1,قصيره: 20,مدح: 13,هجاء: 4","البسيط: 20,الخفيف: 8,الرجز: 1,السريع: 1,الطويل: 10,الكامل: 4,المنسرح: 3,الوافر: 5,مجزوء: 1",53, حرملة بن المنذر بن معد يكرب بن حنظلة يتصل نسبة بيعرب بن قحطان. شاعر جاهلي من قبيلة طيء في اليمن، هاجرت قبيلته إلى الحجاز واستولت على جبلي أجأ وسلمى فعُرفا بجبل طيء وكان جده (النعمان بن حيّة بن سعنة) قد ولي ملك الحيرة من قبل كسرى. وهو من المعمرين ويروى أنه عاش مائة وخمسين عاماً وأدرك الإسلام واسلم واستعمله عمر بن الخطاب على صدقات قومه بني طيء وفي بعض الروايات أنه بقي على النصرانية ولم يعتنق الإسلام بينما تقول روايات أخرى أنه أسلم على يد صديقه الحميم الوليد بن عقبة بن أبي معيط. وكان قد رثى عثمان بن عفان وعلي بن أبي طالب. ورافق الوليد في اعتزاله علياً ومعاوية فأقام معه نديماً في الرقة ثم توفي بعده بقليل ودفن إلى جانبه هناك.,"تَرنوا بِعَيني غَزالٍ تَحتَ سِدرَتِهِ***أَحَسَّ يَوماً مِنَ المَشتاةِ هَلّابا, بِجيدِ ريمٍ كَريمٍ زانَهُ نَسَقٌ***يَكادُ يُلهِبُهُ الياقوتُ إِلهابا"
العصر الأموي,https://www.aldiwan.net/cat-poets-umayyad-era,أبو صخر الهذلي,https://www.aldiwan.net/cat-poet-Abu-Sakhr-Al-Hudhali,عبد الله بن سلمة السهمي، من بني هذيل بن مدركة. شاعر، من الفصحاء، كان في العصر الأموي، موالياً لبني مروان،,"رثاء: 1,رومنسيه: 1",الطويل: 2,2, عبد الله بن سلمة السهمي، من بني هذيل بن مدركة. شاعر، من الفصحاء، كان في العصر الأموي، موالياً لبني مروان، متعصباً لهم، وله في عبد الملك وأخيه عبد العزيز مدائح. وكان قد حبسه عبد الله بن الزبير عاماً وأطلقه بشفاعة رجال من قريش وهو صاحب الأبيات المشهورة التي أولها: عجبت لسعي الدهر بيني وبينها فلما انقضى ما بيننا سكن الدهر,"أعيني ألا تبكيا لمصيبتي***وكل عيون الناس عني أصبرُ, بكيت لفقد الأكرمين تتابعوا***وصلّوا المنايا دارعون وحسر"
